OMP Performance Test
TEST 1: Open Trade
22
21
21
21
19
21
20
21
20
22
134
21
120
121
21
19
27
145
19
19
121
28
19
115
120
121
22
18
21
19
18
21
19
19
21
37
121
20
18
18
19
21
21
24
21
22
25
19
19
22
Average Open Trade,39.66

TEST 2: Close Trade
121
19
19
121
125
129
20
19
19
22
80
121
39
121
24
122
27
122
20
24
40
1219
121
21
21
125
18
19
17
121
120
125
127
19
24
122
18
134
21
28
21
19
21
19
20
133
20
119
19
22
Average Open Trade,83.74
