OMP Performance Test
TEST 1: Open Trade
64
163
62
62
164
73
62
163
62
62
61
60
61
60
61
60
62
61
164
61
62
64
60
62
169
60
63
60
61
61
60
62
62
162
164
62
64
62
165
60
60
61
61
65
61
60
60
320
60
60
Average Open Trade,83.22

TEST 2: Close Trade
170
164
166
62
191
61
65
166
163
63
60
61
62
62
60
164
61
163
61
62
62
61
164
62
61
161
162
61
63
61
62
164
164
166
60
60
163
62
61
173
61
60
60
60
62
60
162
161
60
61
Average Open Trade,98.94
