OMP Performance Test
TEST 1: Open Trade
51
134
30
135
30
37
28
29
28
32
30
28
28
130
136
30
30
131
29
30
31
28
28
129
131
29
28
28
30
29
29
28
129
27
28
28
28
131
131
133
30
129
28
28
30
27
128
32
37
128
Average Open Trade,58.32

TEST 2: Close Trade
137
27
134
29
30
33
133
131
129
130
28
30
27
28
118
129
132
27
131
28
31
41
27
27
29
28
28
118
133
27
30
28
129
136
28
30
30
28
128
129
32
27
27
30
27
27
29
27
129
29
Average Open Trade,63.2
