OMP Performance Test
TEST 1: Open Trade
113
115
114
115
214
124
215
113
115
215
-58886
115
117
115
114
215
115
114
221
219
225
120
259
219
118
126
290
118
118
120
231
118
118
119
118
118
-58876
222
119
120
221
256
120
120
228
172
221
221
117
192
Average Open Trade,-2202.0

TEST 2: Close Trade
113
115
114
115
113
115
216
216
216
112
215
215
215
113
113
216
214
114
126
120
118
119
120
219
118
118
118
231
118
119
119
118
118
121
118
118
221
119
120
117
118
118
118
117
221
117
118
219
120
219
Average Open Trade,145.56
