Compact Stream Performance Test
Timestamp on Tick,Latency After Decode,Bid,Ask
1396642365.157,12.038,1.37009,1.37021
1396642378.312,15.403,1.3700800000000002,1.3702100000000002
1396642378.544,11.657,1.37009,1.3702
1396642391.928,11.580,1.37009,1.3702
1396642413.576,10.703,1.3701100000000002,1.3702200000000002
1396642414.615,10.082,1.37009,1.37023
1396642414.732,10.720,1.3701,1.37023
1396642429.559,10.857,1.3701,1.37022
1396642444.906,10.659,1.3701100000000002,1.3702100000000002
1396642445.252,11.487,1.37009,1.37023
1396642447.724,11.024,1.3701100000000002,1.3702100000000002
1396642451.745,11.301,1.3701100000000002,1.3702100000000002
1396642452.077,10.763,1.3701,1.37022
Compact Stream Performance Test
Timestamp on Tick,Latency After Decode,Bid,Ask
1396642581.808,11.706,1.37003,1.37016
1396642581.822,14.219,1.37,1.3701500000000002
1396642582.322,10.862,1.3700100000000002,1.3701400000000001
1396642584.136,10.848,1.36999,1.37012
1396642603.981,11.329,1.3699800000000002,1.3701300000000003
1396642607.119,10.610,1.3699700000000001,1.3701200000000002
1396642608.885,11.360,1.37,1.3701500000000002
1396642610.886,19.530,1.3700100000000002,1.3701400000000001
1396642626.905,10.552,1.36999,1.37012
1396642629.755,10.967,1.3699800000000002,1.3701300000000003
1396642636.724,11.338,1.3699800000000002,1.3701200000000002
1396642638.874,20.981,1.3699800000000002,1.3701300000000003
1396642658.518,12.336,1.36999,1.37012
1396642677.643,10.467,1.3700100000000002,1.3701400000000001
1396642678.088,12.535,1.37,1.3701500000000002
1396642693.012,11.861,1.37002,1.37014
1396642714.912,13.400,1.3700100000000002,1.3701500000000002
1396642715.213,11.874,1.3700100000000002,1.37013
1396642715.482,959.983,1.3699800000000002,1.3701100000000002
1396642728.213,11.320,1.36999,1.3701
1396642732.492,12.227,1.3699700000000001,1.3700800000000002
1396642733.259,14.539,1.36999,1.3701
1396642737.198,10.289,1.3699800000000002,1.3701100000000002
1396642737.595,22.346,1.37,1.3701100000000002
1396642746.477,11.838,1.37,1.3701100000000002
1396642759.319,11.550,1.3699800000000002,1.3701400000000001
1396642770.076,10.916,1.36995,1.37011
1396642770.723,10.630,1.3699800000000002,1.3701400000000001
1396642779.484,12.394,1.3700100000000002,1.3701200000000002
1396642794.157,10.407,1.37,1.37013
1396642795.122,11.911,1.3700100000000002,1.3701200000000002
1396642799.979,11.284,1.37,1.37013
1396642810.015,10.873,1.3700100000000002,1.3701200000000002
1396642815.707,11.669,1.3699800000000002,1.3700900000000003
1396642825.791,10.835,1.3699800000000002,1.3701
1396642827.113,10.594,1.36999,1.37009
1396642827.127,11.851,1.3699700000000001,1.3700800000000002
1396642828.761,10.496,1.3699800000000002,1.3700700000000001
1396642828.772,14.675,1.37,1.37009
1396642828.821,18.126,1.36999,1.37012
1396642829.021,12.429,1.3700100000000002,1.3701200000000002
1396642834.932,10.520,1.3700100000000002,1.3701100000000002
1396642853.830,14.132,1.37,1.37012
1396642858.712,10.975,1.37002,1.37012
1396642861.113,14.221,1.37,1.3701500000000002
1396642861.119,25.165,1.36999,1.37016
1396642861.212,10.930,1.37,1.37016
1396642862.311,11.852,1.37002,1.37015
1396642865.353,11.750,1.37,1.37013
1396642888.914,12.473,1.37002,1.37015
1396642891.585,211.446,1.37003,1.37015
1396642950.673,12.689,1.37003,1.37016
1396642951.722,11.595,1.3700400000000001,1.3701500000000002
1396642955.133,23.764,1.37003,1.37016
1396642957.615,24.708,1.3700400000000001,1.3701500000000002
1396642957.617,54.330,1.37003,1.37016
1396642959.048,22.654,1.3700400000000001,1.3701500000000002
1396642962.821,24.207,1.3700400000000001,1.37017
1396642962.824,48.593,1.37003,1.3701800000000002
1396642962.914,24.228,1.37006,1.3702
1396642962.935,32.644,1.3700700000000001,1.37026
1396642963.114,25.821,1.3700800000000002,1.3702600000000003
1396642963.311,23.362,1.3700800000000002,1.3702400000000001
1396642963.423,23.383,1.37009,1.3702400000000001
1396642964.114,23.657,1.3701100000000002,1.3702100000000002
1396642964.890,23.462,1.37009,1.37023
1396642964.891,51.713,1.3700800000000002,1.3702400000000001
1396642965.115,24.451,1.37009,1.3702400000000001
1396642966.113,23.543,1.37012,1.37024
1396642968.618,29.866,1.3701,1.37023
1396642968.823,25.808,1.3701,1.37022
1396642971.224,22.938,1.3701100000000002,1.3702100000000002
1396642972.313,22.889,1.3700800000000002,1.3701800000000002
1396642981.723,23.388,1.3700700000000001,1.37019
1396643014.337,24.331,1.37009,1.3702
1396643030.902,22.632,1.3701100000000002,1.3702200000000002
1396643042.648,23.911,1.3701,1.37023
1396643045.385,23.257,1.3701,1.37023
1396643053.970,22.890,1.37012,1.37024
1396643058.597,23.448,1.37012,1.37022
1396643058.598,49.685,1.3701,1.3702400000000001
1396643061.422,28.627,1.3701100000000002,1.37023
1396643064.218,25.733,1.3700800000000002,1.3702100000000002
1396643064.224,48.702,1.37006,1.37022
1396643064.314,23.781,1.3700400000000001,1.3701900000000002
1396643064.454,26.604,1.37003,1.37017
1396643064.864,23.615,1.3700400000000001,1.3701500000000002
1396643067.701,30.796,1.37003,1.37016
1396643071.412,23.269,1.37002,1.37016
1396643071.615,23.536,1.37,1.37013
1396643073.022,36.118,1.37003,1.37017
1396643073.116,23.687,1.3700500000000002,1.3701800000000002
1396643073.318,23.477,1.37002,1.37016
1396643075.214,22.649,1.3700500000000002,1.3701800000000002
1396643075.278,23.162,1.37003,1.37017
