,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396635544.323,15.996,1.3698,1.36991,13.705,1.3698,1.36991,,0.8567766942,-2.291
1396635551.014,15.751,1.36979,1.36989,16.935,1.36979,1.36989,,1.0751698305,1.184
1396635552.613,40.502,1.36981,1.36994,588.125,1.36981,1.36994,,14.5208878574,547.623
1396635552.714,12.445,1.36982,1.36994,489.423,1.36982,1.36994,,39.3268782644,476.978
1396635552.921,12.286,1.36984,1.36994,283.468,1.36984,1.36994,,23.0724401758,271.182
1396635563.02,11.587,1.36984,1.36995,12.593,1.36984,1.36995,,1.0868214378,1.006
1396635567.411,12.655,1.36985,1.36995,13.447,1.36985,1.36995,,1.0625839589,0.792
1396635569.12,19.724,1.36984,1.36995,21.116,1.36984,1.36995,,1.0705739201,1.392
1396635577.132,11.866,1.36984,1.36996,14.548,1.36984,1.36996,,1.2260239339,2.682
1396635577.223,17.246,1.36985,1.36996,24.548,1.36985,1.36996,,1.4234025281,7.302
1396635577.623,11.417,1.36984,1.36996,11.857,1.36984,1.36996,,1.0385390208,0.44
1396635578.712,11.532,1.36984,1.36995,12.269,1.36984,1.36995,,1.0639091224,0.737
1396635590.615,10.872,1.36986,1.36995,11.427,1.36986,1.36995,,1.0510485651,0.555
1396635590.697,11.101,1.36985,1.36995,30.425,1.36985,1.36995,,2.7407440771,19.324
1396635590.722,11.615,1.36985,1.36997,108.266,1.36985,1.36997,,9.321222557,96.651
1396635590.731,17.783,1.36986,1.36997,101.327,1.36986,1.36997,,5.6979699713,83.544
1396635595.712,11.178,1.36984,1.36996,11.656,1.36984,1.36996,,1.0427625693,0.478
1396635596.12,15.845,1.36986,1.36996,16.408,1.36986,1.36996,,1.0355317135,0.563
1396635600.623,12.134,1.36984,1.36996,13.407,1.36984,1.36996,,1.104911818,1.273
1396635600.921,11.896,1.36986,1.36997,13.461,1.36986,1.36997,,1.1315568258,1.565
1396635602.909,10.512,1.36987,1.36996,12.002,1.36987,1.36996,,1.1417427702,1.49
1396635605.678,10.37,1.36986,1.36997,11.872,1.36986,1.36997,,1.1448408872,1.502
1396635605.813,12.448,1.36984,1.36996,13.421,1.36984,1.36996,,1.0781651671,0.973
1396635606.224,11.314,1.36986,1.36996,11.838,1.36986,1.36996,,1.0463143009,0.524
1396635606.573,13.624,1.36985,1.36997,14.509,1.36985,1.36997,,1.0649588961,0.885
1396635606.68,11.767,1.36986,1.36997,12.57,1.36986,1.36997,,1.0682416929,0.803
1396635610.791,10.507,1.36984,1.36996,11.818,1.36984,1.36996,,1.1247739602,1.311
1396635610.921,22.506,1.36986,1.36997,24.133,1.36986,1.36997,,1.0722918333,1.627
1396635615.679,11.297,1.36985,1.36998,12.484,1.36985,1.36998,,1.105072143,1.187
1396635615.814,10.686,1.36985,1.36997,11.928,1.36985,1.36997,,1.1162268389,1.242
1396635616.004,13.639,1.36986,1.36997,15.066,1.36986,1.36997,,1.1046264389,1.427
1396635729.512,13.196,1.36986,1.36998,41.029,1.36986,1.36998,,3.1091997575,27.833
1396635729.624,21.283,1.36984,1.36996,33.792,1.36984,1.36996,,1.5877460884,12.509
1396635729.716,14.491,1.36985,1.36996,37.329,1.36985,1.36996,,2.5760126975,22.838
1396635729.813,12.953,1.36984,1.36994,41.859,1.36984,1.36994,,3.2316065776,28.906
1396635730.783,15.857,1.36982,1.36993,16.712,1.36982,1.36993,,1.0539194047,0.855
1396635730.79,31.858,1.36981,1.36993,105.165,1.36981,1.36993,,3.3010546801,73.307
1396635732.131,20.73,1.3698,1.36993,21.608,1.3698,1.36993,,1.0423540762,0.878
1396635732.22,11.825,1.3698,1.36992,32.428,1.3698,1.36992,,2.7423255814,20.603
1396635733.434,12.209,1.3698,1.36991,12.402,1.3698,1.36991,,1.0158080105,0.193
1396635742.411,11.657,1.36981,1.36991,11.434,1.36981,1.36991,,0.9808698636,-0.223
1396635742.413,31.112,1.3698,1.36992,116.342,1.3698,1.36992,,3.7394574441,85.23
1396635742.435,32.01,1.3698,1.36991,95.58,1.3698,1.36991,,2.9859418932,63.57
1396635742.475,11.289,1.36981,1.36993,149.665,1.36981,1.36993,,13.2575958898,138.376
1396635742.614,11.172,1.36984,1.36995,109.167,1.36984,1.36995,,9.7714822771,97.995
1396635744.611,14.891,1.36985,1.36995,15.962,1.36985,1.36995,,1.0719226378,1.071
1396635745.311,16.431,1.36987,1.36997,16.407,1.36987,1.36997,,0.9985393464,-0.024
1396635749.732,14.493,1.36985,1.36995,15.575,1.36985,1.36995,,1.0746567308,1.082
1396635753.31,11.966,1.36984,1.36996,13.06,1.36984,1.36996,,1.0914257062,1.094
1396635753.512,15.786,1.36985,1.36995,17.156,1.36985,1.36995,,1.0867857595,1.37
1396635762.212,15.688,1.36985,1.36997,13.19,1.36985,1.36997,,0.8407700153,-2.498
1396635762.313,11.594,1.36986,1.36997,13.458,1.36986,1.36997,,1.1607728135,1.864
1396635762.611,12.969,1.36985,1.36997,13.751,1.36985,1.36997,,1.0602976328,0.782
1396635762.713,12.385,1.36986,1.36997,14.082,1.36986,1.36997,,1.1370205894,1.697
1396635779.13,34.56,1.36985,1.36994,36.079,1.36985,1.36994,,1.0439525463,1.519
1396635780.056,12.997,1.36984,1.36995,14.635,1.36984,1.36995,,1.1260290836,1.638
1396635782.714,457.733,1.36985,1.36994,538.078,1.36985,1.36994,,1.1755280917,80.345
1396635785.979,24.329,1.36984,1.36995,26.068,1.36984,1.36995,,1.0714784825,1.739
1396635790.121,22.244,1.36986,1.36996,22.856,1.36986,1.36996,,1.0275130372,0.612
1396635794.514,11.138,1.36986,1.36995,74.75,1.36986,1.36995,,6.7112587538,63.612
1396635801.022,14.174,1.36986,1.36997,15.634,1.36986,1.36997,,1.103005503,1.46
1396635805.783,25.696,1.36984,1.36995,26.989,1.36984,1.36995,,1.0503191158,1.293
1396635805.944,21.233,1.36984,1.36996,21.601,1.36984,1.36996,,1.0173315123,0.368
1396635808.003,26.509,1.36983,1.36994,27.636,1.36983,1.36994,,1.0425138632,1.127
1396635809.823,24.842,1.36986,1.36996,24.302,1.36986,1.36996,,0.9782626198,-0.54
1396635810.438,22.868,1.36985,1.36997,24.01,1.36985,1.36997,,1.0499387791,1.142
1396635810.445,52.518,1.36984,1.36997,122.805,1.36984,1.36997,,2.3383411402,70.287
1396635810.86,11.405,1.36985,1.36997,13.001,1.36985,1.36997,,1.1399386234,1.596
1396635810.904,10.944,1.36984,1.36997,72.174,1.36984,1.36997,,6.5948464912,61.23
1396635812.611,14.811,1.36985,1.36997,14.475,1.36985,1.36997,,0.9773141584,-0.336
1396635813.65,13.154,1.36983,1.36997,14.813,1.36983,1.36997,,1.1261213319,1.659
1396635813.923,18.175,1.36984,1.36996,19.877,1.36984,1.36996,,1.0936451169,1.702
1396635814.013,23.025,1.36984,1.36995,34.542,1.36984,1.36995,,1.5001954397,11.517
1396635814.113,33.38,1.36985,1.36995,1226.72,1.36985,1.36995,,36.7501497903,1193.34
1396635814.719,16.248,1.36982,1.36994,644.267,1.36982,1.36994,,39.652080256,628.019
1396635814.802,221.201,1.36981,1.36994,562.862,1.36981,1.36994,,2.5445725833,341.661
1396635819.498,27.221,1.3698,1.36994,100.785,1.3698,1.36994,,3.7024723559,73.564
1396635820.865,13.739,1.3698,1.36994,14.592,1.3698,1.36994,,1.0620860325,0.853
1396635823.013,26.53,1.36983,1.36991,27.647,1.36983,1.36991,,1.0421032793,1.117
1396635823.021,66.121,1.3698,1.36994,119.479,1.3698,1.36994,,1.8069750911,53.358
