Compact Stream Performance Test
Timestamp on Tick,Latency After Decode
1396628264.276,12.452
1396628264.419,15.075
1396628264.426,24.780
1396628264.525,8.685
1396628264.577,8.279
1396628264.703,7.309
1396628265.155,8.401
1396628265.158,21.662
1396628265.315,7.985
1396628265.431,9.131
1396628265.521,9.435
1396628265.661,8.225
1396628266.596,7.467
1396628268.365,8.314
1396628271.985,11.855
1396628272.123,9.649
1396628278.005,9.886
1396628279.426,13.541
1396628280.319,7.279
1396628280.615,7.195
1396628285.115,8.319
1396628300.605,7.461
1396628304.706,7.030
1396628305.817,9.223
1396628305.915,7.885
1396628313.469,7.745
1396628323.586,7.782
1396628324.615,8.581
1396628325.050,10.803
1396628325.118,7.798
1396628325.219,8.069
1396628326.714,8.344
1396628328.713,7.802
1396628329.024,8.419
1396628329.124,8.705
1396628329.132,18.376
1396628329.145,22.018
1396628329.523,9.417
1396628329.674,7.952
1396628330.016,7.315
1396628330.022,15.265
1396628330.059,7.975
1396628330.215,7.769
1396628330.309,7.759
1396628330.321,13.659
1396628330.795,21.873
1396628333.566,28.857
1396628334.086,9.227
1396628334.611,8.945
1396628335.216,9.103
1396628335.224,14.274
1396628335.311,9.626
1396628337.023,9.008
1396628337.035,11.616
1396628337.055,7.614
1396628337.077,8.062
1396628337.219,8.182
1396628337.347,425.271
1396628337.727,61.236
1396628338.017,7.291
1396628338.062,11.694
1396628340.226,7.806
1396628340.315,7.406
1396628340.465,7.733
1396628341.439,8.934
1396628342.019,7.167
1396628342.060,7.351
1396628342.136,9.609
1396628342.489,8.329
1396628344.950,7.682
1396628345.164,7.976
1396628349.400,7.488
1396628349.615,9.424
1396628349.950,7.055
1396628350.757,9.737
1396628352.023,8.831
1396628352.266,7.699
1396628352.619,7.749
1396628352.637,8.506
1396628352.727,10.820
1396628353.825,9.915
1396628354.517,9.203
1396628357.865,10.227
1396628357.912,7.788
1396628358.021,8.088
1396628358.063,10.141
1396628358.228,8.736
1396628358.461,8.661
1396628368.189,8.022
1396628368.224,9.485
1396628369.303,7.688
1396628370.817,7.740
1396628370.829,11.210
1396628377.811,7.961
1396628379.957,7.612
1396628385.181,7.762
1396628386.282,7.429
1396628389.824,7.484
1396628390.715,7.645
1396628390.808,7.729
1396628392.377,14.159
1396628392.995,8.002
1396628393.240,11.945
1396628393.341,7.251
1396628393.437,10.479
1396628393.528,9.782
1396628393.718,7.191
1396628393.923,10.445
1396628393.927,28.617
1396628394.018,9.077
1396628394.936,9.298
1396628394.989,7.655
1396628396.167,10.128
1396628396.221,9.540
1396628396.265,8.782
1396628396.384,7.188
1396628399.148,8.361
1396628399.467,7.408
1396628400.513,7.922
1396628400.518,17.958
1396628400.585,10.023
1396628400.644,8.458
1396628400.868,8.811
1396628402.504,8.882
1396628403.111,8.404
1396628403.668,13.383
1396628407.657,9.628
1396628408.608,7.710
1396628408.623,8.401
1396628408.660,7.976
1396628408.719,9.784
1396628408.736,13.088
1396628408.819,10.587
1396628408.881,8.102
1396628408.903,8.746
1396628409.017,8.497
1396628409.625,8.435
1396628409.826,8.977
1396628410.099,7.125
1396628414.930,14.558
1396628415.385,9.373
1396628417.635,7.970
1396628417.641,15.670
1396628419.514,8.368
1396628422.415,8.086
1396628422.415,22.696
1396628423.564,8.101
1396628423.637,9.165
1396628434.515,8.162
1396628434.562,7.658
1396628434.741,8.278
1396628434.755,9.754
1396628435.421,8.958
1396628435.518,9.061
1396628439.516,8.510
1396628439.569,19.762
1396628439.754,9.382
1396628439.903,12.217
1396628441.669,7.891
1396628441.735,7.760
1396628442.325,8.526
1396628442.430,8.368
1396628442.664,8.538
1396628442.675,17.122
1396628442.728,11.920
1396628443.089,15.095
1396628443.532,11.012
1396628443.562,18.237
1396628446.224,9.550
1396628446.516,8.051
1396628449.176,8.878
1396628449.426,6.937
1396628449.453,80.020
1396628449.642,11.187
1396628449.713,33.812
1396628452.117,8.250
1396628452.127,12.944
1396628452.615,9.377
1396628453.526,7.662
1396628454.115,8.623
1396628456.937,8.379
1396628457.024,8.612
1396628458.714,7.959
1396628461.218,7.283
1396628461.384,8.209
1396628461.490,7.233
1396628461.555,7.764
1396628461.695,8.372
1396628461.737,8.340
1396628461.743,17.556
1396628461.829,11.507
1396628461.917,427.933
1396628462.160,202.023
1396628463.128,7.687
1396628465.709,10.668
1396628466.041,9.972
1396628466.227,8.345
1396628467.054,8.182
1396628467.063,17.025
1396628467.100,7.473
1396628467.125,12.365
1396628467.233,9.955
1396628468.822,7.436
1396628468.839,8.207
1396628468.899,7.620
1396628469.794,7.905
1396628472.074,9.675
1396628475.742,8.542
1396628476.654,8.095
1396628477.916,7.846
1396628481.125,20.386
1396628481.507,7.725
1396628483.416,7.978
1396628484.272,14.573
1396628485.535,8.852
1396628485.714,7.856
1396628485.915,16.700
1396628487.070,7.831
1396628488.114,8.731
1396628489.323,8.506
1396628489.417,7.829
1396628490.820,10.275
1396628494.433,10.399
1396628498.026,9.680
1396628499.090,7.578
1396628501.417,7.895
1396628502.315,8.426
1396628502.581,7.475
1396628502.612,9.188
1396628502.674,8.022
1396628502.826,8.546
1396628502.832,17.974
1396628503.102,8.697
1396628503.282,8.517
1396628503.659,8.134
1396628508.277,8.402
1396628508.367,7.696
1396628510.312,8.229
1396628510.523,8.863
1396628510.525,21.440
1396628510.814,9.930
1396628510.820,30.007
1396628510.991,7.504
1396628514.227,10.804
1396628514.824,12.240
1396628515.326,7.940
1396628515.331,16.178
1396628516.145,9.604
1396628517.292,7.161
1396628518.853,8.004
1396628519.415,7.869
1396628519.854,7.943
1396628520.308,9.596
1396628520.525,8.111
1396628523.172,9.244
1396628523.240,10.114
1396628523.293,8.823
1396628523.337,434.812
1396628523.702,91.983
1396628523.818,9.235
1396628523.821,26.031
1396628523.922,8.852
1396628524.024,8.040
1396628526.521,8.477
1396628526.616,7.468
1396628526.636,10.506
1396628526.835,8.128
1396628526.905,12.270
1396628526.946,7.974
1396628527.521,7.724
1396628534.528,7.915
1396628534.543,8.621
1396628534.630,10.837
1396628539.813,8.519
1396628539.916,7.976
1396628540.125,8.196
1396628540.720,8.264
1396628541.408,7.891
1396628543.916,9.848
1396628544.019,8.737
1396628544.224,7.975
1396628544.234,11.225
1396628544.276,8.229
1396628545.199,11.029
1396628545.313,16.412
1396628545.436,8.086
1396628547.917,8.742
1396628547.927,20.199
1396628547.940,34.079
1396628548.019,9.070
1396628548.035,12.996
1396628548.081,13.816
1396628548.112,19.648
1396628548.142,27.555
1396628548.241,23.460
1396628548.328,25.921
1396628548.426,28.705
1396628548.510,43.578
1396628548.954,31.432
1396628548.994,14.928
1396628549.013,22.003
1396628549.039,20.560
1396628549.069,21.495
1396628549.127,14.452
1396628549.182,17.011
1396628549.317,9.035
1396628549.391,14.625
1396628549.422,20.514
1396628549.570,8.632
1396628549.629,19.941
1396628549.688,10.439
1396628549.719,16.022
1396628549.733,31.413
1396628549.836,17.579
1396628549.960,18.216
1396628550.092,13.257
1396628550.138,62.882
1396628550.217,48.777
1396628550.313,7.438
1396628550.326,32.258
1396628551.803,9.563
1396628551.816,16.229
1396628551.833,29.809
1396628551.899,8.819
1396628552.229,25.647
1396628552.626,36.635
1396628552.804,9.025
1396628553.594,7.634
1396628554.078,7.917
1396628554.224,10.167
1396628554.315,8.008
1396628554.327,12.008
1396628554.516,8.435
1396628555.553,8.114
1396628555.893,7.834
1396628555.950,8.261
1396628556.221,18.841
1396628557.327,10.272
1396628557.429,7.769
1396628557.990,9.575
1396628558.047,10.006
1396628558.123,10.485
1396628558.197,8.379
1396628559.069,10.282
1396628559.082,16.007
1396628561.320,11.797
1396628561.795,10.626
1396628563.126,9.373
1396628563.136,19.204
1396628563.313,14.646
1396628563.331,28.545
1396628563.911,97.262
1396628565.064,8.870
1396628567.915,8.901
1396628568.769,10.144
1396628573.333,11.835
1396628573.364,10.010
1396628573.529,7.990
1396628573.619,442.613
1396628573.744,337.608
1396628577.759,9.106
1396628578.092,11.744
1396628578.141,8.101
1396628578.586,8.286
1396628579.815,9.265
1396628580.173,11.226
1396628580.174,26.282
1396628580.216,433.499
1396628580.647,25.748
1396628580.815,9.186
1396628580.831,16.602
1396628581.137,23.961
1396628581.221,8.870
1396628581.290,43.758
1396628581.406,28.279
1396628581.546,15.018
1396628581.587,11.141
1396628581.648,12.388
1396628581.665,24.627
1396628583.115,11.792
1396628583.139,12.706
1396628583.150,20.773
1396628583.227,12.513
1396628583.269,15.606
1396628583.304,9.004
1396628583.310,33.680
1396628583.530,10.477
1396628583.659,19.265
1396628583.916,15.394
1396628584.117,8.160
1396628584.122,105.168
1396628584.226,100.151
1396628584.949,11.454
1396628585.086,13.625
1396628585.435,10.718
1396628585.489,11.009
1396628586.578,10.702
1396628587.723,31.528
