Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.1285962349,1.5055
1396642828.761,10.496,1.36998,1.37007,11.135,1.36998,1.37007,,1.0608803354,0.639
1396642828.772,14.675,1.37,1.37009,100.084,1.37,1.37009,,6.8200340716,85.409
1396642828.821,18.126,1.36999,1.37012,152.796,1.36999,1.37012,,8.4296590533,134.67
1396642829.021,12.429,1.37001,1.37012,52.117,1.37001,1.37012,,4.1931772468,39.688
1396642834.932,10.52,1.37001,1.37011,12.623,1.37001,1.37011,,1.199904943,2.103
1396642853.83,14.132,1.37,1.37012,14.544,1.37,1.37012,,1.0291536937,0.412
1396642858.712,10.975,1.37002,1.37012,12.77,1.37002,1.37012,,1.1635535308,1.795
1396642861.113,14.221,1.37,1.37015,14.332,1.37,1.37015,,1.0078053583,0.111
1396642861.119,25.165,1.36999,1.37016,107.957,1.36999,1.37016,,4.2899662229,82.792
1396642861.212,10.93,1.37,1.37016,117.095,1.37,1.37016,,10.7131747484,106.165
1396642862.311,11.852,1.37002,1.37015,11.98,1.37002,1.37015,,1.010799865,0.128
1396642865.353,11.75,1.37,1.37013,13.686,1.37,1.37013,,1.1647659574,1.936
1396642888.914,12.473,1.37002,1.37015,13.763,1.37002,1.37015,,1.1034233945,1.29
1396642891.585,211.446,1.37003,1.37015,1213.319,1.37003,1.37015,,5.7381979323,1001.873
1396642950.673,12.689,1.37003,1.37016,31.535,1.37003,1.37016,,2.4852234219,18.846
1396642951.722,11.595,1.37004,1.37015,23.579,1.37004,1.37015,,2.0335489435,11.984
1396642955.133,23.764,1.37003,1.37016,14.45,1.37003,1.37016,,0.6080626157,-9.314
1396642957.615,24.708,1.37004,1.37015,12.498,1.37004,1.37015,,0.5058280719,-12.21
1396642957.617,54.33,1.37003,1.37016,111.626,1.37003,1.37016,,2.0545923063,57.296
1396642959.048,22.654,1.37004,1.37015,12.276,1.37004,1.37015,,0.5418910568,-10.378
1396642962.821,24.207,1.37004,1.37017,12.38,1.37004,1.37017,,0.5114223159,-11.827
1396642962.824,48.593,1.37003,1.37018,109.017,1.37003,1.37018,,2.2434712819,60.424
1396642962.914,24.228,1.37006,1.3702,120.431,1.37006,1.3702,,4.9707363381,96.203
1396642962.935,32.644,1.37007,1.37026,102.427,1.37007,1.37026,,3.1376975861,69.783
1396642963.114,25.821,1.37008,1.37026,21.605,1.37008,1.37026,,0.8367220479,-4.216
