Http Stream Performance Test
Timestamp on Tick,Latency After Decode
1396646238.620,147.411
1396646238.719,50.403
1396646238.923,10.366
1396646240.727,11.097
1396646242.889,10.922
1396646242.918,82.181
1396646242.946,156.915
1396646243.117,87.775
1396646243.148,58.234
1396646243.225,78.774
1396646244.700,13.747
1396646244.725,87.358
1396646244.726,87.085
1396646245.089,10.138
1396646245.414,9.266
1396646246.814,10.836
1396646246.823,103.595
1396646246.924,102.588
1396646246.973,55.814
1396646248.015,9.961
1396646248.314,10.036
1396646248.386,39.531
1396646248.477,49.373
1396646248.624,101.876
1396646249.478,10.860
1396646250.913,10.068
1396646251.959,12.460
1396646252.413,9.945
1396646254.714,10.279
1396646254.973,11.279
1396646255.616,11.743
1396646255.914,10.207
1396646256.891,10.640
1396646257.920,10.578
1396646257.998,35.105
1396646259.764,10.217
1396646263.612,51.462
1396646264.090,11.287
1396646264.097,104.901
1396646264.128,75.566
1396646264.208,93.497
1396646264.276,26.497
1396646264.419,1097.279
1396646264.426,1092.916
1396646264.525,994.978
1396646264.577,944.935
1396646264.703,821.503
1396646265.155,370.603
1396646265.158,369.931
1396646265.315,214.346
1396646265.431,100.843
1396646265.521,46.210
1396646265.661,1120.338
1396646266.596,188.733
1396646268.365,10.568
1396646271.985,17.416
1396646272.123,11.612
1396646278.005,12.196
1396646279.426,13.203
1396646280.319,9.991
1396646280.615,10.542
1396646285.115,11.078
1396646300.605,10.199
1396646304.706,10.279
1396646305.817,12.020
1396646305.915,13.791
1396646313.469,10.913
1396646323.586,90.495
1396646324.615,14.252
1396646325.050,12.421
1396646325.118,42.445
1396646325.219,42.708
1396646326.714,10.274
1396646328.713,10.326
1396646329.024,15.668
1396646329.124,10.182
1396646329.132,106.132
1396646329.145,95.327
1396646329.523,11.224
1396646329.674,10.356
1396646330.016,10.037
1396646330.017,112.212
1396646330.022,108.178
1396646330.059,73.816
1396646330.215,13.126
1396646330.309,1133.160
1396646330.321,1123.216
1396646330.795,650.944
1396646333.566,11.829
1396646334.086,11.400
1396646334.611,10.310
1396646335.216,10.728
1396646335.224,103.253
1396646335.311,115.033
1396646337.023,11.568
1396646337.035,100.974
1396646337.055,83.175
1396646337.077,160.139
1396646337.219,19.883
1396646337.347,537.813
1396646337.727,257.975
1396646338.017,68.211
1396646338.062,122.015
1396646340.226,11.391
1396646340.315,24.232
1396646340.465,10.476
1396646341.439,10.700
1396646342.019,9.898
1396646342.060,70.532
1396646342.136,95.236
1396646342.489,11.086
1396646344.950,10.378
1396646345.164,10.793
1396646349.400,12.240
1396646349.615,11.910
1396646349.950,12.743
1396646350.757,15.650
1396646352.023,10.658
1396646352.266,12.128
1396646352.619,11.303
1396646352.637,1214.871
1396646352.727,1126.869
1396646353.825,31.214
1396646354.517,11.351
1396646357.865,11.374
1396646357.912,66.341
1396646358.021,55.294
1396646358.063,113.167
1396646358.228,48.701
1396646358.461,10.542
1396646368.189,10.229
1396646368.224,76.127
1396646369.303,10.138
1396646370.817,10.788
1396646370.829,100.253
1396646377.811,10.976
1396646379.957,9.251
1396646385.181,11.372
1396646386.282,10.811
1396646389.824,10.687
1396646390.715,10.076
1396646390.808,17.850
1396646392.377,15.765
1396646392.995,10.658
1396646393.240,14.279
1396646393.341,10.833
1396646393.437,15.908
1396646393.528,27.109
1396646393.718,34.798
1396646393.923,11.747
1396646393.923,111.922
1396646393.927,109.811
1396646394.018,121.059
1396646394.936,10.405
1396646394.989,60.167
1396646396.167,51.202
1396646396.221,95.213
1396646396.265,53.640
1396646396.384,32.510
1396646399.148,9.516
1396646399.467,11.007
1396646400.513,11.594
1396646400.518,105.576
1396646400.585,140.056
1396646400.644,82.389
1396646400.868,11.033
1396646402.504,10.590
1396646403.111,11.157
1396646403.668,33.451
1396646407.657,12.790
1396646408.608,94.053
1396646408.623,80.795
1396646408.660,140.374
1396646408.719,82.367
1396646408.736,65.862
1396646408.819,83.420
1396646408.881,22.384
1396646408.903,98.746
1396646409.017,84.665
1396646409.625,11.084
1396646409.826,11.638
1396646410.099,10.691
1396646414.930,1209.622
1396646415.385,769.896
1396646417.635,10.619
1396646417.641,104.441
1396646419.514,11.788
1396646422.415,10.744
1396646422.415,110.684
1396646423.564,10.893
1396646423.637,138.319
1396646434.515,10.655
1396646434.562,64.291
1396646434.741,11.256
1396646434.755,96.529
1396646435.421,11.273
1396646435.518,13.607
1396646439.516,11.782
1396646439.569,64.585
1396646439.754,11.704
1396646439.903,14.555
1396646441.669,10.015
1396646441.735,46.540
1396646442.325,10.430
1396646442.430,10.765
1396646442.664,14.774
1396646442.675,103.102
1396646442.728,152.065
1396646443.089,16.623
1396646443.532,13.310
1396646443.562,1197.216
1396646446.224,11.638
1396646446.516,11.298
1396646449.176,9.685
1396646449.426,10.782
1396646449.453,87.660
1396646449.642,13.327
1396646449.713,39.447
1396646452.117,10.797
1396646452.127,100.663
1396646452.615,10.655
1396646453.526,10.626
1396646454.115,12.087
1396646456.937,11.419
1396646457.024,25.181
1396646458.714,10.639
1396646461.218,10.832
1396646461.384,11.041
1396646461.490,11.417
1396646461.555,46.267
1396646461.695,11.433
1396646461.737,71.359
1396646461.743,66.856
1396646461.829,76.497
1396646461.917,89.002
1396646461.956,52.088
1396646462.124,13.315
1396646462.160,75.623
1396646463.128,10.895
1396646465.709,11.466
1396646466.041,11.434
1396646466.227,38.977
1396646467.054,11.602
1396646467.063,102.228
1396646467.100,67.161
1396646467.125,140.170
1396646467.233,34.314
1396646468.822,10.425
1396646468.839,93.417
1396646468.899,133.783
1396646469.794,10.797
1396646472.074,10.929
1396646475.742,10.966
1396646476.654,9.518
1396646477.916,13.128
1396646481.125,110.342
1396646481.507,10.914
1396646483.416,11.285
1396646484.272,15.586
1396646485.535,13.120
1396646485.714,10.649
1396646485.915,19.315
1396646487.070,10.811
1396646488.114,10.951
1396646489.323,10.863
1396646489.417,17.964
1396646490.820,11.900
1396646494.433,12.941
1396646498.026,11.915
1396646499.090,10.310
1396646501.417,10.234
1396646502.315,10.591
1396646502.581,11.209
1396646502.612,81.964
1396646502.674,119.610
1396646502.826,67.861
1396646502.832,63.281
1396646503.102,11.608
1396646503.282,10.480
1396646503.659,61.640
1396646508.277,10.732
1396646508.367,21.537
1396646510.312,9.551
1396646510.523,10.675
1396646510.525,108.812
1396646510.814,22.410
1396646510.820,105.505
1396646510.991,35.454
1396646514.227,12.804
1396646514.824,14.098
1396646515.326,10.732
1396646515.331,105.920
1396646516.145,84.780
1396646517.292,10.643
1396646518.853,10.709
1396646519.415,11.000
1396646519.854,11.255
1396646520.308,12.353
1396646520.525,10.535
1396646523.172,11.919
1396646523.240,43.681
1396646523.293,93.993
1396646523.337,51.837
1396646523.344,46.532
1396646523.373,111.371
1396646523.421,163.489
1396646523.427,159.725
1396646523.519,68.751
1396646523.702,608.598
1396646523.818,594.726
1396646523.821,592.913
1396646523.922,494.188
1396646524.024,393.927
1396646526.521,10.143
1396646526.616,17.572
1396646526.636,95.798
1396646526.835,9.530
1396646526.905,40.781
1396646526.946,100.760
1396646527.521,10.708
1396646534.528,10.869
1396646534.543,100.878
1396646534.630,111.432
1396646539.813,12.459
1396646539.916,10.910
1396646540.125,11.892
1396646540.720,11.185
1396646541.408,10.429
1396646543.916,11.514
1396646544.019,10.652
1396646544.224,10.734
1396646544.234,101.619
1396646544.276,61.483
1396646545.199,15.095
1396646545.313,18.129
1396646545.436,10.513
1396646547.917,12.046
1396646547.922,106.614
1396646547.927,103.814
1396646547.940,92.773
1396646548.019,118.184
1396646548.035,104.239
1396646548.081,59.260
1396646548.112,126.883
1396646548.142,98.067
1396646548.241,492.014
1396646548.252,482.252
1396646548.286,450.811
1396646548.310,428.399
1396646548.320,420.349
1396646548.328,413.688
1396646548.426,317.962
1396646548.443,302.773
1396646548.498,249.631
1396646548.510,239.948
1396646548.536,215.647
1396646548.557,196.099
1396646548.665,174.990
1396646548.730,111.966
1396646548.818,123.976
1396646548.954,84.160
1396646548.994,45.513
1396646549.006,36.254
1396646549.013,128.263
1396646549.028,115.862
1396646549.039,106.050
1396646549.067,80.308
1396646549.069,80.293
1396646549.127,107.271
1396646549.182,54.899
1396646549.317,15.467
1396646549.391,55.161
1396646549.422,122.473
1396646549.570,73.781
1396646549.629,111.119
1396646549.688,54.344
1396646549.719,117.862
1396646549.733,105.686
1396646549.836,106.526
1396646549.960,80.191
1396646550.092,48.838
1396646550.102,140.978
1396646550.103,141.859
1396646550.118,129.472
1396646550.138,111.266
1396646550.217,33.681
1396646550.313,46.853
1396646550.326,121.925
1396646551.803,11.565
1396646551.806,110.174
1396646551.813,105.362
1396646551.816,104.204
1396646551.833,89.275
1396646551.899,117.925
1396646552.229,31.239
1396646552.328,1212.210
1396646552.396,1165.518
1396646552.475,1088.202
1396646552.514,1051.394
1396646552.626,941.269
1396646552.804,764.770
1396646553.594,10.015
1396646554.078,11.772
1396646554.224,15.222
1396646554.315,20.744
1396646554.317,118.531
1396646554.327,110.571
1396646554.516,20.487
1396646555.553,10.569
1396646555.893,10.545
1396646555.950,54.387
1396646556.221,104.648
1396646557.327,11.793
1396646557.429,12.008
1396646557.990,11.226
1396646558.047,55.288
1396646558.123,78.501
1396646558.197,105.231
1396646559.069,13.888
1396646559.071,112.165
1396646559.073,111.259
1396646559.082,104.777
1396646561.320,13.044
1396646561.795,770.786
1396646563.126,11.594
1396646563.136,107.487
1396646563.313,45.147
1396646563.330,1313.317
1396646563.331,1314.936
1396646563.799,869.741
1396646563.911,759.651
1396646565.064,11.026
1396646567.915,10.500
1396646568.769,11.324
1396646573.333,14.451
1396646573.364,81.956
1396646573.529,16.837
1396646573.619,25.122
1396646573.623,121.773
1396646573.744,627.730
1396646577.759,10.823
1396646578.092,12.700
1396646578.141,62.440
1396646578.586,12.725
1396646579.815,14.959
1396646580.173,12.511
1396646580.174,111.854
1396646580.216,71.956
1396646580.221,68.803
1396646580.236,151.277
1396646580.322,67.492
1396646580.518,12.735
1396646580.570,63.421
1396646580.647,90.183
1396646580.815,13.569
1396646580.831,98.019
1396646581.137,106.962
1396646581.221,124.509
1396646581.233,113.642
1396646581.239,109.516
1396646581.249,101.209
1396646581.274,78.544
1396646581.290,64.310
1396646581.331,115.306
1396646581.382,168.250
1396646581.406,146.077
1396646581.546,100.535
1396646581.587,59.865
1396646581.648,99.675
1396646581.665,83.942
1396646583.115,13.032
1396646583.132,95.335
1396646583.139,91.092
1396646583.150,81.271
1396646583.227,99.451
1396646583.269,59.527
1396646583.304,124.100
1396646583.310,119.776
1396646583.530,12.303
1396646583.659,84.102
1396646583.916,15.663
1396646584.117,10.528
1396646584.122,105.198
1396646584.226,103.903
1396646584.949,14.344
1396646585.086,16.890
1396646585.435,11.999
1396646585.489,58.799
1396646586.578,17.331
1396646586.621,1187.396
1396646586.749,1061.740
1396646587.519,294.112
1396646587.723,92.017
1396646589.285,13.024
1396646589.380,15.026
1396646589.524,15.583
1396646590.408,11.772
1396646590.417,104.176
1396646590.423,99.372
1396646590.448,76.401
1396646590.518,114.609
1396646590.717,14.321
1396646590.816,15.460
1396646591.124,11.633
1396646591.414,13.739
1396646591.626,11.374
1396646592.967,12.337
1396646592.970,109.776
1396646593.113,63.849
1396646593.917,9.385
1396646594.970,12.205
1396646595.437,14.641
1396646595.628,16.991
1396646599.343,10.850
1396646599.817,13.004
1396646599.964,16.345
1396646601.381,12.118
1396646601.562,11.626
1396646602.146,11.088
1396646603.074,13.818
1396646603.311,11.306
1396646603.322,100.869
1396646603.477,47.970
1396646603.534,93.777
1396646603.583,47.000
1396646603.839,11.185
1396646603.843,107.302
1396646604.016,33.356
1396646604.068,82.550
1396646604.087,65.830
1396646604.291,10.682
1396646604.528,10.752
1396646605.074,11.002
1396646605.277,11.236
1396646605.445,11.041
1396646607.718,534.479
1396646607.729,623.834
1396646607.816,538.242
1396646608.118,238.242
1396646609.581,13.134
1396646609.672,23.250
1396646609.911,10.710
1396646610.115,10.717
1396646610.606,11.282
1396646610.847,11.043
1396646610.936,547.015
1396646611.016,567.869
1396646611.562,24.241
1396646611.720,12.330
1396646612.214,11.195
1396646612.254,71.507
1396646614.046,11.379
1396646614.239,11.881
1396646614.390,11.189
1396646614.619,12.841
1396646614.829,11.527
1396646615.614,11.568
1396646615.724,11.899
1396646615.952,11.430
1396646616.214,31.890
1396646616.426,11.115
1396646616.555,11.669
1396646616.726,14.888
1396646617.727,11.328
1396646617.823,15.759
1396646618.027,11.154
1396646618.258,14.345
1396646618.275,94.334
1396646619.247,10.648
1396646620.225,10.878
1396646626.637,14.311
1396646629.569,10.818
1396646629.930,11.529
1396646630.046,10.990
1396646630.231,11.011
1396646630.356,12.794
1396646632.746,10.369
1396646632.753,104.448
1396646633.165,10.495
1396646633.714,34.726
1396646635.996,10.975
1396646637.268,11.045
1396646638.541,11.012
Http Stream Performance Test
Timestamp on Tick,Latency After Decode
1396646876.239,377.852
1396646876.834,10.599
1396646877.309,13.301
1396646877.319,102.071
1396646877.426,97.569
1396646877.467,58.483
1396646877.571,50.788
1396646878.251,10.555
1396646878.274,86.612
1396646878.327,133.734
1396646878.456,105.208
1396646878.516,46.985
1396646878.715,59.582
1396646878.715,61.197
1396646879.060,15.870
1396646879.220,9.102
1396646879.231,100.165
