Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396642853.83,14.132,1.37,1.37012,,1396642828.772,100.084,1.37,1.37009
1396642858.712,10.975,1.37002,1.37012,,1396642828.821,152.796,1.36999,1.37012
1396642861.113,14.221,1.37,1.37015,,1396642829.021,52.117,1.37001,1.37012
1396642861.119,25.165,1.36999,1.37016,,1396642834.932,12.623,1.37001,1.37011
1396642861.212,10.93,1.37,1.37016,,1396642853.83,14.544,1.37,1.37012
1396642862.311,11.852,1.37002,1.37015,,1396642858.712,12.77,1.37002,1.37012
1396642865.353,11.75,1.37,1.37013,,1396642861.113,14.332,1.37,1.37015
1396642888.914,12.473,1.37002,1.37015,,1396642861.119,107.957,1.36999,1.37016
1396642891.585,211.446,1.37003,1.37015,,1396642861.212,117.095,1.37,1.37016
1396642950.673,12.689,1.37003,1.37016,,1396642862.311,11.98,1.37002,1.37015
1396642951.722,11.595,1.37004,1.37015,,1396642865.353,13.686,1.37,1.37013
1396642955.133,23.764,1.37003,1.37016,,1396642888.914,13.763,1.37002,1.37015
1396642957.615,24.708,1.37004,1.37015,,1396642891.585,1213.319,1.37003,1.37015
1396642957.617,54.33,1.37003,1.37016,,1396642950.673,31.535,1.37003,1.37016
1396642959.048,22.654,1.37004,1.37015,,1396642951.722,23.579,1.37004,1.37015
1396642962.821,24.207,1.37004,1.37017,,1396642955.133,14.45,1.37003,1.37016
1396642962.824,48.593,1.37003,1.37018,,1396642957.615,12.498,1.37004,1.37015
1396642962.914,24.228,1.37006,1.3702,,1396642957.617,111.626,1.37003,1.37016
1396642962.935,32.644,1.37007,1.37026,,1396642959.048,12.276,1.37004,1.37015
1396642963.114,25.821,1.37008,1.37026,,1396642962.821,12.38,1.37004,1.37017
1396642963.311,23.362,1.37008,1.37024,,1396642962.824,109.017,1.37003,1.37018
1396642963.423,23.383,1.37009,1.37024,,1396642962.914,120.431,1.37006,1.3702
1396642964.114,23.657,1.37011,1.37021,,1396642962.923,113.552,1.37006,1.37025
1396642964.89,23.462,1.37009,1.37023,,1396642962.935,102.427,1.37007,1.37026
1396642964.891,51.713,1.37008,1.37024,,1396642963.114,21.605,1.37008,1.37026
1396642965.115,24.451,1.37009,1.37024,,1396642963.311,12.222,1.37008,1.37024
1396642966.113,23.543,1.37012,1.37024,,1396642963.423,12.815,1.37009,1.37024
1396642968.618,29.866,1.3701,1.37023,,1396642964.114,12.69,1.37011,1.37021
1396642968.823,25.808,1.3701,1.37022,,1396642964.89,12.261,1.37009,1.37023
1396642971.224,22.938,1.37011,1.37021,,1396642964.891,112.826,1.37008,1.37024
1396642972.313,22.889,1.37008,1.37018,,1396642965.115,12.679,1.37009,1.37024
1396642981.723,23.388,1.37007,1.37019,,1396642966.113,12.031,1.37012,1.37024
1396643014.337,24.331,1.37009,1.3702,,1396642968.618,13.347,1.3701,1.37023
1396643030.902,22.632,1.37011,1.37022,,1396642968.823,12.1,1.3701,1.37022
1396643042.648,23.911,1.3701,1.37023,,1396642971.224,15.275,1.37011,1.37021
1396643045.385,23.257,1.3701,1.37023,,1396642972.313,12.204,1.37008,1.37018
1396643053.97,22.89,1.37012,1.37024,,1396642981.723,12.593,1.37007,1.37019
1396643058.597,23.448,1.37012,1.37022,,1396643014.337,11.968,1.37009,1.3702
1396643058.598,49.685,1.3701,1.37024,,1396643030.902,12.785,1.37011,1.37022
1396643061.422,28.627,1.37011,1.37023,,1396643042.648,11.835,1.3701,1.37023
1396643064.218,25.733,1.37008,1.37021,,1396643045.385,13.672,1.3701,1.37023
1396643064.224,48.702,1.37006,1.37022,,1396643053.97,12.007,1.37012,1.37024
1396643064.314,23.781,1.37004,1.37019,,1396643058.597,11.299,1.37012,1.37022
1396643064.454,26.604,1.37003,1.37017,,1396643058.598,109.271,1.3701,1.37024
1396643064.864,23.615,1.37004,1.37015,,1396643061.422,12.45,1.37011,1.37023
1396643067.701,30.796,1.37003,1.37016,,1396643064.218,13.309,1.37008,1.37021
1396643071.412,23.269,1.37002,1.37016,,1396643064.224,108.426,1.37006,1.37022
1396643071.615,23.536,1.37,1.37013,,1396643064.314,121.288,1.37004,1.37019
1396643073.022,36.118,1.37003,1.37017,,1396643064.454,86.46,1.37003,1.37017
1396643073.116,23.687,1.37005,1.37018,,1396643064.864,12.244,1.37004,1.37015
1396643073.318,23.477,1.37002,1.37016,,1396643067.701,25.278,1.37003,1.37016
1396643075.214,22.649,1.37005,1.37018,,1396643071.412,13.197,1.37002,1.37016
1396643075.278,23.162,1.37003,1.37017,,1396643071.615,13.644,1.37,1.37013
1396643075.418,29.498,1.37002,1.37017,,1396643073.015,104.534,1.37001,1.37015
1396643075.447,29.101,1.37,1.37015,,1396643073.022,99.161,1.37003,1.37017
1396643077.313,23.678,1.37002,1.37014,,1396643073.116,104.2,1.37005,1.37018
1396643077.321,43.076,1.37004,1.37017,,1396643073.318,12.921,1.37002,1.37016
1396643077.414,27.764,1.37005,1.37017,,1396643075.214,12.655,1.37005,1.37018
1396643077.438,34.003,1.37001,1.37016,,1396643075.278,49.168,1.37003,1.37017
1396643077.722,24.133,1.37002,1.37015,,1396643075.418,108.975,1.37002,1.37017
1396643079.126,23.25,1.37003,1.37014,,1396643075.447,82.558,1.37,1.37015
1396643079.206,23.667,1.37002,1.37015,,1396643077.313,12.508,1.37002,1.37014
1396643079.215,42.066,1.37003,1.37015,,1396643077.315,111.718,1.37002,1.37015
1396643079.305,24.065,1.37006,1.37018,,1396643077.321,106.97,1.37004,1.37017
1396643079.322,34.347,1.37004,1.37017,,1396643077.414,113.867,1.37005,1.37017
1396643080.467,24.091,1.37006,1.37018,,1396643077.424,106.191,1.37003,1.37017
1396643080.614,22.819,1.37004,1.37017,,1396643077.438,93.929,1.37001,1.37016
1396643088.849,24.241,1.37004,1.37016,,1396643077.722,11.398,1.37002,1.37015
1396643091.904,23.284,1.37003,1.37014,,1396643079.126,12.411,1.37003,1.37014
1396643107.008,11.13,1.37003,1.37015,,1396643079.206,31.759,1.37002,1.37015
1396643109.834,11.107,1.37001,1.37015,,1396643079.215,123.68,1.37003,1.37015
1396643112.713,10.204,1.37002,1.37015,,1396643079.305,35.04,1.37006,1.37018
1396643119.213,10.301,1.37003,1.37015,,1396643079.322,119.163,1.37004,1.37017
1396643119.621,12.221,1.37003,1.37018,,1396643080.467,40.159,1.37006,1.37018
1396643120.13,10.736,1.37004,1.37017,,1396643080.614,12.235,1.37004,1.37017
1396643125.566,10.881,1.37005,1.37016,,1396643088.849,14.194,1.37004,1.37016
1396643130.987,10.446,1.37005,1.37016,,1396643091.904,12.066,1.37003,1.37014
1396643136.92,11.93,1.37004,1.37018,,1396643107.008,12.404,1.37003,1.37015
1396643140.631,11.539,1.37005,1.37019,,1396643109.834,11.669,1.37001,1.37015
1396643143.396,10.306,1.37005,1.37017,,1396643112.713,13.034,1.37002,1.37015
1396643144.812,12.739,1.37005,1.37017,,1396643119.213,11.168,1.37003,1.37015
1396643145.949,12.47,1.37004,1.37017,,1396643119.621,13.534,1.37003,1.37018
1396643155.165,11.94,1.37004,1.37017,,1396643120.13,12.347,1.37004,1.37017
1396643173.021,10.993,1.37004,1.37016,,1396643125.566,12.359,1.37005,1.37016
1396643176.644,11.974,1.37004,1.37015,,1396643130.987,12.629,1.37005,1.37016
1396643178.899,11.024,1.37001,1.37015,,1396643136.92,14.388,1.37004,1.37018
1396643179.631,11.716,1.37003,1.37013,,1396643140.631,13.126,1.37005,1.37019
1396643179.697,11.466,1.37002,1.37014,,1396643143.396,12.132,1.37005,1.37017
1396643187.809,10.785,1.37,1.37013,,1396643144.812,14.132,1.37005,1.37017
1396643188.588,10.771,1.37,1.37012,,1396643145.949,13.479,1.37004,1.37017
1396643189.933,10.921,1.36998,1.3701,,1396643155.165,13.438,1.37004,1.37017
1396643196.705,10.671,1.36998,1.3701,,1396643173.021,12.683,1.37004,1.37016
1396643200.119,10.782,1.36995,1.37007,,1396643176.644,13.469,1.37004,1.37015
1396643200.127,19.157,1.36992,1.37005,,1396643178.899,12.053,1.37001,1.37015
1396643200.614,10.945,1.36991,1.37002,,1396643179.631,13.204,1.37003,1.37013
1396643200.629,10.835,1.36993,1.37004,,1396643179.697,48.015,1.37002,1.37014
1396643200.688,11.431,1.36993,1.37004,,1396643187.809,12.212,1.37,1.37013
1396643202.12,11.638,1.36992,1.37006,,1396643188.588,12.708,1.37,1.37012
1396643202.896,13.152,1.36994,1.37006,,1396643189.933,12.737,1.36998,1.3701
1396643203.313,10.821,1.36994,1.37006,,1396643196.705,12.374,1.36998,1.3701
1396643215.002,11.429,1.36995,1.37006,,1396643200.119,12.405,1.36995,1.37007
1396643215.017,18.939,1.36995,1.3701,,1396643200.127,104.659,1.36992,1.37005
1396643215.023,28.279,1.36998,1.37013,,1396643200.614,12.489,1.36991,1.37002
1396643215.111,12.999,1.37,1.37014,,1396643200.629,97.534,1.36993,1.37004
1396643215.125,14.857,1.36996,1.37014,,1396643200.688,141.406,1.36993,1.37004
1396643215.233,10.864,1.36994,1.37011,,1396643202.12,13.447,1.36992,1.37006
1396643216.214,12.537,1.36993,1.37009,,1396643202.896,14.457,1.36994,1.37006
1396643216.221,28.543,1.36991,1.37007,,1396643203.313,12.312,1.36994,1.37006
1396643216.314,11.36,1.36989,1.37005,,1396643215.002,11.412,1.36995,1.37006
1396643217.513,27.767,1.36991,1.37002,,1396643215.015,100.825,1.36995,1.37008
1396643219.824,11.761,1.36991,1.37003,,1396643215.016,101.854,1.36995,1.37009
1396643219.825,27.108,1.3699,1.37004,,1396643215.017,103.093,1.36995,1.3701
1396643219.997,10.605,1.36992,1.37005,,1396643215.023,98.657,1.36998,1.37013
1396643220.043,11.747,1.36991,1.37005,,1396643215.111,104.717,1.37,1.37014
1396643220.099,10.939,1.36992,1.37005,,1396643215.125,92.642,1.36996,1.37014
1396643220.205,10.489,1.36992,1.37004,,1396643215.233,610.122,1.36994,1.37011
1396643220.205,110.822,1.3699,1.37006,,1396643216.214,13.567,1.36993,1.37009
1396643221.524,14.83,1.36992,1.37007,,1396643216.221,106.051,1.36991,1.37007
1396643221.618,12.77,1.36991,1.37008,,1396643216.314,117.957,1.36989,1.37005
1396643221.784,11.104,1.36991,1.37007,,1396643216.425,102.961,1.36989,1.37004
1396643221.837,10.538,1.36992,1.37007,,1396643216.614,13.909,1.3699,1.37003
1396643228.013,11.619,1.36993,1.37007,,1396643217.513,12.407,1.36991,1.37002
1396643230.324,10.576,1.36994,1.37006,,1396643219.824,14.21,1.36991,1.37003
1396642594.262,375.874,0.05058,0.05729,,1396643219.825,113.172,1.3699,1.37004
1396643233.13,11.413,1.36989,1.37003,,1396643219.997,42.4,1.36992,1.37005
1396643233.735,12.812,1.36991,1.37005,,1396643220.043,95.385,1.36991,1.37005
1396643235.112,19.966,1.36992,1.37005,,1396643220.099,40.887,1.36992,1.37005
1396643235.214,14.727,1.36991,1.37005,,1396643220.205,33.493,1.36992,1.37004
1396643235.913,11.058,1.36992,1.37004,,1396643220.205,133.379,1.3699,1.37006
1396643236.912,11.476,1.36991,1.37005,,1396643221.524,16.243,1.36992,1.37007
1396643237.878,11.376,1.36991,1.37003,,1396643221.618,17.853,1.36991,1.37008
1396643239.313,10.361,1.3699,1.37004,,1396643221.784,12.486,1.36991,1.37007
1396643239.838,10.694,1.36988,1.37002,,1396643221.837,59.64,1.36992,1.37007
1396643263.912,11.606,1.36988,1.37,,1396643228.013,28.527,1.36993,1.37007
1396643263.919,19.486,1.36987,1.37,,1396643230.324,12.327,1.36994,1.37006
1396643263.931,23.461,1.3699,1.37003,,1396643230.942,712.287,1.36991,1.37005
1396643265.945,10.754,1.36991,1.37002,,1396643233.13,12.297,1.36989,1.37003
1396643273.019,11.244,1.36989,1.37002,,1396643233.735,14.221,1.36991,1.37005
1396643274.765,10.603,1.3699,1.37001,,1396643235.112,21.771,1.36992,1.37005
1396643274.766,25.032,1.36988,1.37003,,1396643235.214,16.074,1.36991,1.37005
1396643277.41,11.308,1.3699,1.37001,,1396643235.913,13.09,1.36992,1.37004
1396643282.232,11.188,1.36991,1.37001,,1396643236.912,13.928,1.36991,1.37005
1396643287.98,12.597,1.3699,1.37002,,1396643237.878,12.729,1.36991,1.37003
1396643292.813,10.498,1.36991,1.37002,,1396643239.313,11.775,1.3699,1.37004
1396643292.813,25.526,1.3699,1.37002,,1396643239.838,11.195,1.36988,1.37002
1396643336.059,10.217,1.3699,1.37001,,1396643263.912,11.747,1.36988,1.37
1396643338.148,13.189,1.36988,1.36999,,1396643263.919,105.366,1.36987,1.37
1396643339.212,10.493,1.36987,1.37,,1396643263.931,94.373,1.3699,1.37003
1396643339.944,11.208,1.36989,1.37002,,1396643265.945,12.177,1.36991,1.37002
1396643353.333,10.669,1.3699,1.37001,,1396643273.019,12.561,1.36989,1.37002
1396643355.295,14.378,1.3699,1.37002,,1396643274.765,11.331,1.3699,1.37001
1396643369.323,10.169,1.36987,1.36999,,1396643274.766,109.863,1.36988,1.37003
1396643369.646,14.078,1.36989,1.37001,,1396643277.41,13.039,1.3699,1.37001
1396643370.348,10.984,1.36988,1.37002,,1396643282.232,11.83,1.36991,1.37001
1396643370.417,11.961,1.36985,1.37001,,1396643287.98,13.823,1.3699,1.37002
1396643370.423,22.031,1.36983,1.36999,,1396643292.813,12.066,1.36991,1.37002
1396641985.512,948.777,3.44775,3.45712,,1396643292.813,111.917,1.3699,1.37002
1396643370.524,11.876,1.3698,1.36995,,1396643336.059,13.244,1.3699,1.37001
1396643370.541,12.646,1.36983,1.36998,,1396643338.148,14.273,1.36988,1.36999
1396643370.613,10.901,1.36983,1.36997,,1396643339.212,12.172,1.36987,1.37
1396643371.313,10.421,1.36985,1.36997,,1396643339.944,13.189,1.36989,1.37002
1396643371.722,11.72,1.36987,1.36997,,1396643353.333,12.389,1.3699,1.37001
1396643372.421,11.252,1.36986,1.36998,,1396643355.295,14.678,1.3699,1.37002
