Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396635552.613,40.502,1.36981,1.36994,,1396635552.425,770.872,1.36979,1.36991
1396635552.714,12.445,1.36982,1.36994,,1396635552.51,687.598,1.36981,1.36993
1396635552.921,12.286,1.36984,1.36994,,1396635552.525,674.954,1.3698,1.36994
1396635563.02,11.587,1.36984,1.36995,,1396635552.613,588.125,1.36981,1.36994
1396635567.411,12.655,1.36985,1.36995,,1396635552.714,489.423,1.36982,1.36994
1396635569.12,19.724,1.36984,1.36995,,1396635552.921,283.468,1.36984,1.36994
1396635577.132,11.866,1.36984,1.36996,,1396635563.02,12.593,1.36984,1.36995
1396635577.223,17.246,1.36985,1.36996,,1396635567.411,13.447,1.36985,1.36995
1396635577.623,11.417,1.36984,1.36996,,1396635569.12,21.116,1.36984,1.36995
1396635578.712,11.532,1.36984,1.36995,,1396635577.132,14.548,1.36984,1.36996
1396635590.615,10.872,1.36986,1.36995,,1396635577.223,24.548,1.36985,1.36996
1396635590.697,11.101,1.36985,1.36995,,1396635577.623,11.857,1.36984,1.36996
1396635590.722,11.615,1.36985,1.36997,,1396635578.712,12.269,1.36984,1.36995
1396635590.731,17.783,1.36986,1.36997,,1396635590.615,11.427,1.36986,1.36995
1396635595.712,11.178,1.36984,1.36996,,1396635590.697,30.425,1.36985,1.36995
1396635596.12,15.845,1.36986,1.36996,,1396635590.722,108.266,1.36985,1.36997
1396635600.623,12.134,1.36984,1.36996,,1396635590.731,101.327,1.36986,1.36997
1396635600.921,11.896,1.36986,1.36997,,1396635595.712,11.656,1.36984,1.36996
1396635602.909,10.512,1.36987,1.36996,,1396635596.12,16.408,1.36986,1.36996
1396635605.678,10.37,1.36986,1.36997,,1396635600.623,13.407,1.36984,1.36996
1396635605.813,12.448,1.36984,1.36996,,1396635600.921,13.461,1.36986,1.36997
1396635606.224,11.314,1.36986,1.36996,,1396635602.909,12.002,1.36987,1.36996
1396635606.573,13.624,1.36985,1.36997,,1396635605.678,11.872,1.36986,1.36997
1396635606.68,11.767,1.36986,1.36997,,1396635605.813,13.421,1.36984,1.36996
1396635610.791,10.507,1.36984,1.36996,,1396635606.224,11.838,1.36986,1.36996
1396635610.921,22.506,1.36986,1.36997,,1396635606.573,14.509,1.36985,1.36997
1396635615.679,11.297,1.36985,1.36998,,1396635606.68,12.57,1.36986,1.36997
1396635615.814,10.686,1.36985,1.36997,,1396635610.791,11.818,1.36984,1.36996
1396635616.004,13.639,1.36986,1.36997,,1396635610.921,24.133,1.36986,1.36997
1396635729.512,13.196,1.36986,1.36998,,1396635615.679,12.484,1.36985,1.36998
1396635729.624,21.283,1.36984,1.36996,,1396635615.814,11.928,1.36985,1.36997
1396635729.716,14.491,1.36985,1.36996,,1396635616.004,15.066,1.36986,1.36997
1396635729.813,12.953,1.36984,1.36994,,1396635729.512,41.029,1.36986,1.36998
1396635730.783,15.857,1.36982,1.36993,,1396635729.624,33.792,1.36984,1.36996
1396635730.79,31.858,1.36981,1.36993,,1396635729.716,37.329,1.36985,1.36996
1396635732.131,20.73,1.3698,1.36993,,1396635729.813,41.859,1.36984,1.36994
