Limit orders:
Open orders:
Open,test_open_32086,32447
Open,test_open_92479,32950
Open,test_open_31060,30868
Open,test_open_67972,31437
Open,test_open_22082,31866
Open,test_open_26114,32439
Open,test_open_48794,33205
Open,test_open_72418,31589
Open,test_open_53087,31622
Open,test_open_29963,32169
Open,test_open_14670,32017
Open,test_open_59566,31657
Open,test_open_84249,31674
Open,test_open_39364,31433
Open,test_open_90559,32111
Open,test_open_55296,32450
Open,test_open_26837,32056
Open,test_open_91786,30887
Open,test_open_54204,32440
Open,test_open_30152,31921
Open,test_open_94081,31732
Open,test_open_94404,32269
Open,test_open_56636,32387
Open,test_open_17855,32388
Open,test_open_96298,40379
Open,test_open_95605,31292
Open,test_open_72396,31725
Open,test_open_57809,32089
Open,test_open_13734,31315
Open,test_open_37056,31921
Open,test_open_24929,31646
Open,test_open_23109,31688
Open,test_open_67404,30646
Open,test_open_48228,32148
Open,test_open_20477,33970
Open,test_open_72112,31879
Open,test_open_98088,32856
Open,test_open_14317,31334
Open,test_open_29671,32764
Open,test_open_68803,32168
Open,test_open_58440,31073
Open,test_open_28212,32425
Open,test_open_56798,32155
Open,test_open_88070,32170
Open,test_open_61676,31449
Open,test_open_11481,31660
Open,test_open_71288,32660
Open,test_open_28999,31309
Open,test_open_70431,31576
Open,test_open_37587,31621
Close orders:
Close,test_close_66160,31980
Close,test_close_17107,32921
Close,test_close_36120,33133
Close,test_close_54697,32414
Close,test_close_50769,32928
Close,test_close_68382,32459
Close,test_close_58192,34689
Close,test_close_74475,32716
Close,test_close_20357,32895
Close,test_close_59565,32820
Close,test_close_54228,32404
Close,test_close_63201,31183
Close,test_close_75881,31429
Close,test_close_49107,30384
Close,test_close_31528,32297
Close,test_close_21508,31163
Close,test_close_40331,32725
Close,test_close_35441,31159
Close,test_close_89360,31911
Close,test_close_41560,32956
Close,test_close_76880,32395
Close,test_close_57498,32457
Close,test_close_90503,30861
Close,test_close_36660,33369
Close,test_close_16414,32931
Close,test_close_96806,31158
Close,test_close_67099,39351
Close,test_close_42534,32904
Close,test_close_96622,32689
Close,test_close_74799,32403
Close,test_close_47253,31362
Close,test_close_83944,32175
Close,test_close_38805,32944
Close,test_close_80889,31781
Close,test_close_40855,31891
Close,test_close_43501,32689
Close,test_close_88047,31905
Close,test_close_80847,33189
Close,test_close_90856,32941
Close,test_close_78206,31883
Close,test_close_79068,32731
Close,test_close_26369,32612
Close,test_close_25118,33377
Close,test_close_15144,32358
Close,test_close_50232,32236
Close,test_close_65308,31955
Close,test_close_37785,32164
Close,test_close_56923,32155
Close,test_close_76349,32706
Close,test_close_32807,33220
Changed orders:
Cancelled orders:
Status request:
Status,status_59029,28525
Status,status_15920,28907
Status,status_25170,28626
Status,status_36339,28291
Status,status_75390,29010
Status,status_61293,28614
Status,status_51205,28899
Status,status_13439,28312
Status,status_68977,29037
Status,status_42613,31164
Status,status_73829,29674
Status,status_83488,29170
Status,status_39398,29425
Status,status_54639,28655
Status,status_28703,28071
Status,status_21779,28889
Status,status_71979,28194
Status,status_95688,28667
Status,status_39119,28640
Status,status_54802,29910
Status,status_85838,29398
Status,status_80583,28613
Status,status_60913,28910
Status,status_93050,28116
Status,status_85693,29156
Status,status_60164,29377
Status,status_85815,29359
Status,status_30330,28374
Status,status_95805,28470
Status,status_95462,28342
Status,status_71166,29443
Status,status_81553,29342
Status,status_91328,28901
Status,status_22714,28885
Status,status_80100,28391
Status,status_47435,29798
Status,status_86033,29450
Status,status_93972,29465
Status,status_10667,29923
Status,status_20288,28409
Status,status_50884,29264
Status,status_53513,28372
Status,status_68606,29765
Status,status_53331,28639
Status,status_14108,28701
Status,status_84507,29119
Status,status_70249,28915
Status,status_20613,28704
Status,status_31657,28484
Status,status_35509,28245
Status request:
Rate,mdreq_22546,26364
Rate,mdreq_56239,26921
Rate,mdreq_36053,26778
Rate,mdreq_42319,26315
Rate,mdreq_62960,26788
Rate,mdreq_96660,26527
Rate,mdreq_37038,25982
Rate,mdreq_96216,26005
Rate,mdreq_97492,26090
Rate,mdreq_53735,27032
Rate,mdreq_53527,26564
Rate,mdreq_87614,26808
Rate,mdreq_30669,26289
Rate,mdreq_47033,26533
Rate,mdreq_79689,26312
Rate,mdreq_45598,26626
Rate,mdreq_96020,26485
Rate,mdreq_15953,26531
Rate,mdreq_45991,26293
Rate,mdreq_10075,27057
Rate,mdreq_74580,25931
Rate,mdreq_44703,26593
Rate,mdreq_20246,26036
Rate,mdreq_64182,26572
Rate,mdreq_86998,26825
Rate,mdreq_16757,26618
Rate,mdreq_95747,26591
Rate,mdreq_95917,26387
Rate,mdreq_21280,26018
Rate,mdreq_37767,26456
Rate,mdreq_17197,26851
Rate,mdreq_22645,26457
Rate,mdreq_62683,26048
Rate,mdreq_91805,26591
Rate,mdreq_17365,26314
Rate,mdreq_71620,26215
Rate,mdreq_36140,26645
Rate,mdreq_41011,26460
Rate,mdreq_23453,26536
Rate,mdreq_10915,26078
Rate,mdreq_33015,27019
Rate,mdreq_31597,26567
Rate,mdreq_30760,25832
Rate,mdreq_90387,26058
Rate,mdreq_30723,26307
Rate,mdreq_25219,26374
Rate,mdreq_75646,26568
Rate,mdreq_75274,26295
Rate,mdreq_80108,26554
Rate,mdreq_62957,26304
